iter	Passed	Remaining
544	39757	4012
545	39837	3939
546	39910	3866
547	39988	3794
548	40060	3721
549	40131	3648
550	40204	3575
551	40277	3502
552	40351	3429
553	40421	3356
554	40507	3284
555	40588	3212
556	40665	3139
557	40738	3066
558	40812	2993
559	40886	2920
560	40956	2847
561	41034	2774
562	41118	2702
563	41190	2629
564	41267	2556
565	41415	2487
566	41491	2414
567	41566	2341
568	41643	2268
569	41717	2195
570	41790	2122
571	41864	2049
572	41935	1976
573	42010	1902
574	42084	1829
575	42158	1756
576	42229	1683
577	42299	1610
578	42378	1537
579	42455	1463
580	42527	1390
581	42600	1317
582	42675	1244
583	42746	1171
584	42819	1097
585	42896	1024
586	42972	951
587	43052	878
588	43131	805
589	43204	732
590	43279	659
591	43354	585
592	43426	512
593	43507	439
594	43580	366
595	43653	292
596	43729	219
597	43800	146
598	43873	73
599	43947	0
